osm_key,osm_type,osm_id,name,latitude,longitude,stop_type,operator,network,tags_json
node/1443441302,node,1443441302,Purvciema iela,56.9554962,24.1759294,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Purvciema iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443441303,node,1443441303,Teikas vidusskola,56.9751815,24.1824538,bus_stop,,,"{""bench"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Teikas vidusskola"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""trolleybus"": ""yes""}"
node/1443441304,node,1443441304,Pavasara gatve,56.9330105,24.2009658,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Pavasara gatve"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1443441306,node,1443441306,Viršu iela,56.9504506,24.1766866,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Viršu iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1443441307,node,1443441307,Bajāru iela,56.9732397,24.1805535,bus_stop,,,"{""highway"": ""bus_stop"", ""name"": ""Bajāru iela"", ""public_transport"": ""platform"", ""trolleybus"": ""yes""}"
node/1443875059,node,1443875059,Itas Kozakevičas iela,56.9510503,24.1708065,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""name"": ""Itas Kozakevičas iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""trolleybus"": ""yes""}"
node/1443875060,node,1443875060,Stabu iela,56.9520961,24.1373217,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Stabu iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes""}"
node/1444104797,node,1444104797,Aleksandra Čaka iela,56.955742,24.1362741,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Aleksandra Čaka iela"", ""name:etymology"": ""Aleksandrs Čaks"", ""name:etymology:wikidata"": ""Q620387"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1445199435,node,1445199435,Alojas iela,56.9675432,24.1308429,bus_stop,,,"{""bench"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Alojas iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""trolleybus"": ""yes""}"
node/1445199436,node,1445199436,Tilta iela,56.9924785,24.1249286,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""name"": ""Tilta iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
