place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJzxEyG1LD7kYRwjawamq5EgE,Marienbāde,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99272999999999,23.89404,9G85XVVV+3J,"XVVV+3J Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=77328010326324930,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:38.290524
ChIJlb5BkcTc7kYRqp0dTX1bwPk,Krišjāņa Barona iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98077,23.84256,9G85XRJV+82,"XRJV+82 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=17996484704695328170,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:38.441992
ChIJS9Ihl8Tc7kYRBSE9FEyX-NE,Krišjāņa Barona iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98072,23.8422,9G85XRJR+7V,"XRJR+7V Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=15130009301164040453,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:38.605889
ChIJNTKWbFHD7kYR70F2X3Y2Fds,33. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia","Ragakāpa, Jūrmala",56.99335,23.90041,9G85XWV2+85,"XWV2+85 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=15786583950852768239,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:38.815830
ChIJuz-nk93c7kYRik_G2Mv8Hrk,Indras iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2015, Latvia",Jūrmala,56.97758,23.82852,9G85XRHH+2C,"XRHH+2C Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=13339377098763423626,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.003263
ChIJjTxgjN3c7kYRurczMJ4-4kA,Indras iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2015, Latvia",Jūrmala,56.97713,23.82808,9G85XRGH+V6,"XRGH+V6 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=4675368212298446778,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.157100
ChIJ1R5G31fD7kYRtg5FNDjwclY,Kuģu iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99333000000001,23.91415,9G85XWV7+8M,"XWV7+8M Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=6229305358792593078,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.320269
ChIJF6Hs91bb7kYRcJI0AU4e-uw,Baldones iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9771,23.90394,9G85XWG3+RH,"XWG3+RH Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=17075994257505161840,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.496429
ChIJGZhdIqjE7kYRdAEV9zufpMs,Jūrnieku iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99334,23.91522,9G85XWV8+83,"XWV8+83 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=14674028565777154420,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.656622
ChIJG0CxCKjE7kYRwq9669drPvI,Enkuru iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9943,23.91665,9G85XWV8+PM,"XWV8+PM Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=17455507780847448002,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:39.809718
